,R-max,T-max,Optimized beta
Cerebellum-Cortex,0.0,0.0,0.0
Thalamus-Proper,0.42210098960745224,73.0,24.242424242424242
Hippocampus,0.6754877462552338,38.0,1.2626262626262628
Amygdala,0.6587700435109978,37.0,1.5151515151515151
VentralDC,0.4945124233134507,1.0,13.383838383838384
ctx-bankssts,0.6083741090122305,67.0,0.5050505050505051
ctx-caudalanteriorcingulate,0.4221009896071927,73.0,24.242424242424242
ctx-caudalmiddlefrontal,0.4221161955126847,73.0,4.545454545454546
ctx-cuneus,0.5677065867857507,68.0,0.7575757575757576
ctx-entorhinal,0.6762928345832712,38.0,1.5151515151515151
ctx-fusiform,0.6711151140209494,40.0,1.0101010101010102
ctx-inferiorparietal,0.7226986419842535,67.0,0.25252525252525254
ctx-inferiortemporal,0.7771263590182342,44.0,0.5050505050505051
ctx-isthmuscingulate,0.5202882297580403,69.0,0.7575757575757576
ctx-lateraloccipital,0.6130801813339058,68.0,0.7575757575757576
ctx-lateralorbitofrontal,0.4221009896072277,73.0,24.242424242424242
ctx-lingual,0.6174076834526702,40.0,1.2626262626262628
ctx-medialorbitofrontal,0.42212101856205936,73.0,4.7979797979797985
ctx-middletemporal,0.7180775510075399,64.0,0.5050505050505051
ctx-parahippocampal,0.6680136250971254,38.0,1.2626262626262628
ctx-paracentral,0.4221009896071391,73.0,24.242424242424242
ctx-parsopercularis,0.42217540794613545,73.0,4.040404040404041
ctx-parsorbitalis,0.42210098960713843,73.0,24.242424242424242
ctx-parstriangularis,0.42210339076449727,73.0,5.303030303030304
ctx-pericalcarine,0.5870056503165685,68.0,0.7575757575757576
ctx-postcentral,0.4221341034074837,73.0,3.787878787878788
ctx-posteriorcingulate,0.4221009896072519,73.0,24.242424242424242
ctx-precentral,0.42211456555562826,73.0,4.545454545454546
ctx-precuneus,0.4785956681278944,70.0,0.7575757575757576
ctx-rostralanteriorcingulate,0.4221051996730981,73.0,5.303030303030304
ctx-rostralmiddlefrontal,0.4221012504740746,73.0,6.313131313131313
ctx-superiorfrontal,0.422102829780244,73.0,5.555555555555556
ctx-superiorparietal,0.575963936118208,69.0,0.5050505050505051
ctx-superiortemporal,0.5866351247186845,67.0,0.7575757575757576
ctx-supramarginal,0.48343000095420025,88.0,0.5050505050505051
ctx-frontalpole,0.422100989607189,73.0,24.242424242424242
ctx-temporalpole,0.6921475015964931,38.0,1.2626262626262628
ctx-transversetemporal,0.538248681280783,68.0,0.7575757575757576
ctx-insula,0.42210098960707704,73.0,25.0
